Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Wayne, MI",City,2020,4,513,620,807,1071,1162,0.1,2.8
"Weatherford, TX",City,2020,4,760,906,1126,1527,1945,-0.1,1.6
"Webster, TX",City,2020,4,884,1002,1227,1672,2125,-0.7,0.9
"Wellington, FL",City,2020,4,1227,1518,1925,2650,3191,-0.1,0.6
"Weslaco, TX",City,2020,4,562,566,735,920,1094,0,0.9
"West Chester, PA",City,2020,4,1119,1328,1603,2006,2232,0.2,0.4
"West Covina, CA",City,2020,4,1517,1805,2320,3153,3476,-0.4,0.3
"West Lafayette, IN",City,2020,4,679,750,913,1251,1556,0.1,-0.7
"West Palm Beach, FL",City,2020,4,892,1104,1399,1926,2320,-0.2,1.9
"West Sacramento, CA",City,2020,4,665,749,950,1379,1673,0,-0.2
"Westland, MI",City,2020,4,617,746,971,1289,1398,-0.2,0.8
"Westminster, CO",City,2020,4,1067,1304,1650,2397,2776,-0.2,3.2
"Wheat Ridge, CO",City,2020,4,827,1010,1278,1857,2151,0,1.7
"Wheeling, IL",City,2020,4,988,1147,1349,1725,2053,0.2,0.8
"Wichita, KS",City,2020,4,482,572,760,1032,1200,0.1,2.2
"Wildomar, CA",City,2020,4,1210,1448,1811,2545,3135,0.8,2.1
"Williamsport, PA",City,2020,4,596,600,733,986,1010,0.1,2.1
"Willoughby, OH",City,2020,4,615,736,917,1205,1277,0,0.2
"Winston-Salem, NC",City,2020,4,657,676,824,1145,1311,0.1,2
"Winter Haven, FL",City,2020,4,676,681,891,1181,1495,-0.1,1.6
"Winter Park, FL",City,2020,4,956,1045,1252,1666,2004,-1.2,0.3
"Woodstock, IL",City,2020,4,845,980,1153,1475,1755,0,1.2
"Worcester, MA",City,2020,4,884,999,1274,1611,1811,0.1,1.6
"Wyandotte, MI",City,2020,4,518,626,814,1082,1173,0.3,0.7
"Yakima, WA",City,2020,4,603,703,912,1258,1444,0,0
"Youngstown, OH",City,2020,4,515,577,726,945,1050,0,-0.3
"Ypsilanti, MI",City,2020,4,820,874,1054,1447,1815,0.1,1.8
"Yucca Valley, CA",City,2020,4,580,694,868,1219,1502,0,1.8
"Zion, IL",City,2020,4,774,898,1056,1351,1608,0.1,0.8
