Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Manhattan, KS",City,2020,4,525,562,744,1050,1274,-0.1,-1.1
"Marana, AZ",City,2020,4,972,1167,1499,2182,2556,-1.4,1.9
"Marietta, PA",City,2020,4,568,677,852,1092,1175,0,0
"Marshall, MI",City,2020,4,543,679,851,1110,1203,0,0.4
"Maryland Heights, MO",City,2020,4,763,865,1123,1487,1735,0.6,2.3
"Marysville, WA",City,2020,4,1161,1329,1655,2402,2857,0.1,0.4
"Matthews, NC",City,2020,4,1109,1228,1432,1930,2424,-0.6,2.7
"McKinney, TX",City,2020,4,980,1168,1451,1967,2505,0.3,3
"Medford, OR",City,2020,4,721,759,1009,1469,1683,0.2,1.8
"Melbourne, FL",City,2020,4,791,983,1246,1723,2121,-0.3,1.5
"Melvindale, MI",City,2020,4,593,716,932,1238,1343,0.1,4.5
"Memphis, TN",City,2020,4,634,709,837,1138,1334,0,1.1
"Menifee, CA",City,2020,4,1118,1337,1673,2350,2895,0.1,0.4
"Mentor, OH",City,2020,4,724,866,1080,1419,1503,0,3.5
"Mesa, AZ",City,2020,4,759,922,1149,1672,1940,0,4.1
"Metairie, LA",City,2020,4,684,798,967,1240,1455,0,1.7
"Miami Gardens, FL",City,2020,4,923,1141,1447,1992,2399,0.6,0
"Miami, FL",City,2020,4,883,1092,1384,1906,2295,-0.5,1.6
"Miamisburg, OH",City,2020,4,649,740,969,1329,1559,0.6,4.4
"Middle River, MD",City,2020,4,870,1057,1326,1705,1997,0.2,-0.5
"Middletown, OH",City,2020,4,591,684,899,1249,1461,0.1,0.3
"Midland, MI",City,2020,4,486,580,752,1034,1180,0.2,-0.3
"Midvale, UT",City,2020,4,804,996,1235,1779,2044,-0.1,5.3
"Milwaukee, WI",City,2020,4,601,731,906,1142,1281,0.2,1.2
"Minneapolis, MN",City,2020,4,743,915,1155,1635,1912,0,1.1
"Minnetonka, MN",City,2020,4,976,1203,1517,2149,2512,-0.6,0.8
"Missoula, MT",City,2020,4,689,744,921,1340,1623,0,0.3
"Missouri City, TX",City,2020,4,1041,1180,1444,1969,2502,0.2,0.5
"Mobile, AL",City,2020,4,790,795,969,1263,1462,-0.2,2.3
"Monroe, LA",City,2020,4,633,637,823,1044,1134,0,-0.3
"Monterey, CA",City,2020,4,1208,1439,1801,2621,2803,-0.1,0.2
"Montgomery, AL",City,2020,4,621,721,869,1115,1507,0.1,1.7
"Moreno Valley, CA",City,2020,4,1153,1379,1725,2424,2987,0.2,-0.3
"Morrisville, NC",City,2020,4,989,1192,1390,1849,2164,0.5,3.2
"Muncie, IN",City,2020,4,516,559,734,958,1165,-0.3,0.2
